HOUSEID,WTHHFIN,HHVEHCNT,HHFAMINC,INCOME_LOW,INCOME_MID,INCOME_HIGH,WRKCOUNT,DRVRCNT,HOMEOWN,URBRUR,URSIZE,HHR_AGE,HHR_SEX,HHR_EDUC,HTRESDN,GSCOST,GSTOTCST,zero,logsum1,logsum2_old,logsum2,logsum3,logsum4,const,HTRESDN,HTRESDN_1000,HTRESDN_INCOME_LOW,HTRESDN_INCOME_MID,HTRESDN_INCOME_HIGH,BESTMILE,MILE_10K,GSYRGAL,GSCOST,GSTOTCST,COST_PER_MILE,MEAN_COST_10,MEAN_COST
37551151,441.822599,0,10,10,0,0,3,3,0,0,6,23,1,1,300,0,0,0,6.408671788,19.14299084,17.91900628,17.85949452,27.78893046,1,300,0.3,0.3,0,0,0,0,0,0,0,0,0,0
37997704,927.4882057,0,5,5,0,0,0,0,0,1,5,54,0,1,7000,0,0,0,6.172807577,19.33895532,18.03686753,18.25775559,30.52281522,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
39314734,4025.041953,0,14,0,14,0,1,1,0,1,5,47,1,4,30000,0,0,0,7.047551367,18.86118963,17.77017753,21.34940325,31.17234393,1,30000,30,0,30,0,0,0,0,0,0,0,0,0
40133669,242.0579143,0,5,5,0,0,0,0,0,0,6,51,0,4,50,0,0,0,6.838318641,19.64234286,18.5806125,19.1012751,28.86909575,1,50,0.05,0.05,0,0,0,0,0,0,0,0,0,0
40624037,1367.694635,0,4,4,0,0,1,1,1,1,5,70,0,3,1500,0,0,0,6.166123359,18.37418161,17.26698914,16.87627582,30.02692785,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
41162385,428.6743353,0,2,2,0,0,0,1,1,1,5,88,0,3,3000,0,0,0,6.375430473,18.93731627,17.71789362,18.79639375,29.21016494,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
41610532,5967.372793,0,5,5,0,0,0,0,0,1,5,78,0,4,3000,0,0,0,6.216858379,18.52619973,17.51119779,20.39774583,28.88960983,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
41897285,1017.019566,0,1,1,0,0,0,0,0,1,5,83,0,4,7000,0,0,0,6.195602076,19.15977879,17.92619797,18.5240209,29.48209934,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
42188935,239.0832871,0,12,12,0,0,0,0,1,1,5,63,1,3,7000,0,0,0,6.914646936,19.45080809,18.22164828,18.02291021,31.89840237,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
42889867,1947.435218,0,8,8,0,0,1,1,0,1,5,47,0,2,750,0,0,0,6.394641869,18.43908133,17.27035012,18.53495361,29.01296298,1,750,0.75,0.75,0,0,0,0,0,0,0,0,0,0
43678433,1165.07544,0,5,5,0,0,2,1,1,1,5,56,1,2,3000,0,0,0,6.34759172,18.41852421,17.21116813,19.18024949,28.44722688,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
44129222,127.3150149,0,18,0,0,18,0,0,1,1,5,67,0,5,7000,0,0,0,7.279544201,19.98108891,18.79186624,22.71893754,32.16436687,1,7000,7,0,0,7,0,0,0,0,0,0,0,0
44208994,265.3224029,0,3,3,0,0,0,0,1,1,5,82,0,1,7000,0,0,0,5.893637998,19.75258286,18.44997952,18.19366659,28.73441121,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
44329134,4375.195316,0,3,3,0,0,1,1,0,1,5,60,0,2,7000,0,0,0,5.969410433,18.21136605,17.01339449,18.45668392,29.77388181,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
44677527,257.3982607,0,1,1,0,0,1,2,1,0,6,46,0,3,50,0,0,0,6.113619049,17.91001962,16.80174165,18.88544835,28.38909731,1,50,0.05,0.05,0,0,0,0,0,0,0,0,0,0
44831093,3413.157794,0,5,5,0,0,1,1,0,1,5,42,0,1,17000,0,0,0,5.956401425,19.04880492,17.93900927,18.15301835,27.81357603,1,17000,17,17,0,0,0,0,0,0,0,0,0,0
45274811,5446.917045,0,5,5,0,0,0,0,1,1,1,92,0,2,750,0,0,0,6.769783345,19.26305502,18.06013541,18.12601286,30.04579438,1,750,0.75,0.75,0,0,0,0,0,0,0,0,0,0
45633913,488.9729763,0,1,1,0,0,0,1,0,1,5,53,1,2,3000,0,0,0,6.588646646,18.80605314,17.67616011,17.90491823,28.04136211,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
45754751,70.02873854,0,4,4,0,0,0,0,1,0,6,76,0,1,50,0,0,0,5.692708553,18.43858429,17.32514351,17.03279636,27.30857253,1,50,0.05,0.05,0,0,0,0,0,0,0,0,0,0
46351232,1373.388446,0,17,0,17,0,1,1,0,1,5,32,0,5,7000,0,0,0,6.481088083,19.1896419,18.01359518,22.09544851,31.6764964,1,7000,7,0,7,0,0,0,0,0,0,0,0,0
47173664,2501.308169,0,5,5,0,0,0,0,0,1,5,81,0,4,7000,0,0,0,6.78005014,19.35397346,18.03728506,18.94108633,29.2757162,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
47654293,351.716633,0,3,3,0,0,0,1,0,1,1,47,0,4,1500,0,0,0,6.184622183,18.13146187,17.0778434,19.06045709,27.67887054,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
48164922,409.7197671,0,2,2,0,0,0,0,1,1,5,92,0,1,7000,0,0,0,6.358000557,18.97917793,17.83106573,18.7010423,29.64694441,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
48288565,1538.606169,0,6,6,0,0,1,0,0,1,5,55,1,4,17000,0,0,0,5.772287522,18.34102002,17.07044015,18.19659332,29.45098942,1,17000,17,17,0,0,0,0,0,0,0,0,0,0
48724308,95.69105527,0,1,1,0,0,0,1,0,1,6,74,0,1,1500,0,0,0,5.840314792,18.01744195,17.00334628,20.23268356,29.010243,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
49190955,653.1959874,0,17,0,17,0,1,1,1,1,5,51,1,5,30000,0,0,0,6.262604269,20.61897634,19.27975962,21.70250555,32.26759654,1,30000,30,0,30,0,0,0,0,0,0,0,0,0
49539086,4199.054288,0,6,6,0,0,0,1,0,1,5,75,0,3,17000,0,0,0,6.605500691,18.86610292,17.67508954,17.41280779,28.27839069,1,17000,17,17,0,0,0,0,0,0,0,0,0,0
49569373,192.40701,0,6,6,0,0,0,1,1,1,5,84,0,2,3000,0,0,0,6.578832098,18.90518226,17.57066165,17.38723526,28.8163931,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
49876558,18484.90412,0,10,10,0,0,1,1,0,1,4,49,0,2,3000,0,0,0,7.268312225,19.39642416,18.19150628,19.48845272,30.86622856,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
51029731,25377.64896,0,3,3,0,0,0,0,0,1,4,79,0,1,7000,0,0,0,6.869439341,19.15946776,17.99280726,18.54366103,27.84188611,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
51262060,339.0399733,0,18,0,0,18,0,0,0,1,5,75,0,5,7000,0,0,0,6.791283172,20.02236941,18.80338948,22.93445212,32.20583187,1,7000,7,0,0,7,0,0,0,0,0,0,0,0
52114492,15390.90152,0,1,1,0,0,0,1,0,1,4,54,1,1,17000,0,0,0,6.19710485,19.62864528,18.44950761,19.42577845,29.83587849,1,17000,17,17,0,0,0,0,0,0,0,0,0,0
52369724,3793.845092,0,10,10,0,0,1,1,0,1,5,56,0,4,17000,0,0,0,6.430797969,18.29094331,17.21954322,19.33976562,29.06339961,1,17000,17,17,0,0,0,0,0,0,0,0,0,0
52963953,223.5587779,0,14,0,14,0,1,2,1,1,5,36,1,3,17000,0,0,0,6.692730957,19.28005634,18.25261719,21.61142087,30.61377181,1,17000,17,0,17,0,0,0,0,0,0,0,0,0
53330691,208.449506,0,3,3,0,0,0,0,1,1,5,86,0,1,7000,0,0,0,6.015552292,18.88104976,17.54962878,17.10817751,28.98058437,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
53937698,1964.709912,0,3,3,0,0,1,1,0,1,5,44,0,2,7000,0,0,0,6.333468727,18.27321617,17.16117859,18.38813122,28.82479499,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
54497443,1058.643169,0,18,0,0,18,1,1,0,1,5,64,0,5,17000,0,0,0,7.398952834,20.12778418,18.74035541,23.06810747,31.17754261,1,17000,17,0,0,17,0,0,0,0,0,0,0,0
54498749,18996.82379,0,4,4,0,0,1,1,1,1,4,52,0,2,1500,0,0,0,5.99884251,18.79641003,17.59511779,18.65462619,28.51395681,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
54516634,423.5814553,0,5,5,0,0,0,2,0,1,5,55,0,3,17000,0,0,0,6.488257105,17.50815372,16.4766005,17.4442607,28.64619506,1,17000,17,17,0,0,0,0,0,0,0,0,0,0
55892559,736.1234175,0,4,4,0,0,0,1,0,1,5,79,0,2,7000,0,0,0,6.26988812,18.16274927,17.10231181,18.33894085,28.97463641,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
56376533,1135.113297,0,9,9,0,0,1,1,0,1,5,42,0,5,7000,0,0,0,6.802558539,17.63145902,16.67308822,19.53390593,28.32359195,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
57939092,39.4501538,0,4,4,0,0,0,0,1,0,6,86,0,3,50,0,0,0,6.707093521,18.10533242,17.09351408,20.22913301,28.68737757,1,50,0.05,0.05,0,0,0,0,0,0,0,0,0,0
58102213,4025.150668,0,6,6,0,0,1,0,0,1,5,63,0,2,7000,0,0,0,6.889276703,17.72984812,16.6899302,18.67538552,29.98944585,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
58490862,798.9486429,0,18,0,0,18,2,2,1,1,5,28,0,4,30000,0,0,0,6.874582708,20.41603023,19.1011175,23.69735997,32.73842244,1,30000,30,0,0,30,0,0,0,0,0,0,0,0
59026026,3414.028173,0,14,0,14,0,2,0,0,1,5,47,0,5,3000,0,0,0,6.925172758,18.39805496,17.27661773,21.02013698,31.23121737,1,3000,3,0,3,0,0,0,0,0,0,0,0,0
59920535,18391.43809,0,2,2,0,0,0,0,0,1,4,38,0,2,3000,0,0,0,6.29801834,18.26906346,17.22547629,20.20301443,28.85864076,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
60487838,255.6194997,0,3,3,0,0,0,0,0,0,6,66,0,2,50,0,0,0,5.984129961,18.24439445,17.22252986,19.19932833,30.17868981,1,50,0.05,0.05,0,0,0,0,0,0,0,0,0,0
60526700,2203.513736,0,15,0,15,0,1,0,0,1,5,39,1,4,7000,0,0,0,7.151601678,18.99294848,17.83129161,21.29162367,31.49533433,1,7000,7,0,7,0,0,0,0,0,0,0,0,0
61138904,2906.873508,0,1,1,0,0,0,1,0,1,5,23,1,3,7000,0,0,0,6.98079094,18.01682119,16.92084093,19.72767051,29.36064858,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
61375736,279.4125465,0,1,1,0,0,0,0,1,1,5,83,0,2,7000,0,0,0,6.283670392,19.28396415,18.19479731,19.18514084,28.25671004,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
61514928,383.0744807,0,5,5,0,0,0,1,0,1,5,62,0,1,17000,0,0,0,5.819557872,18.51391077,17.28145732,17.10563535,30.15484463,1,17000,17,17,0,0,0,0,0,0,0,0,0,0
61608845,353.5484162,0,1,1,0,0,0,0,0,1,5,73,0,2,3000,0,0,0,6.458612569,18.64617239,17.58519743,17.32072057,29.26201645,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
62010173,68.46699436,0,10,10,0,0,0,1,1,1,5,84,0,2,1500,0,0,0,7.395127432,18.71806893,17.56870224,19.47721932,27.32636429,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
63881389,4455.550089,0,18,0,0,18,2,2,1,1,5,42,0,4,1500,0,0,0,6.796865467,20.2653457,18.85976684,23.32933834,31.49184211,1,1500,1.5,0,0,1.5,0,0,0,0,0,0,0,0
63973592,1364.040859,0,3,3,0,0,1,0,0,1,5,60,1,2,7000,0,0,0,5.828641181,18.71892505,17.54247499,18.82957324,30.46610128,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
64211992,2493.218356,0,5,5,0,0,1,1,0,1,5,35,1,2,7000,0,0,0,6.358168932,18.36096754,17.33013097,19.67825387,29.60408582,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
64438678,361.1606071,0,1,1,0,0,0,0,0,1,6,74,1,1,1500,0,0,0,5.370864133,18.46847514,17.21442486,17.95932276,29.87047003,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
64478731,441.8237568,0,3,3,0,0,0,1,0,1,1,47,0,2,1500,0,0,0,6.42305723,19.22561237,17.85208081,19.3116944,28.89436839,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
65887675,742.0561111,0,8,8,0,0,1,1,1,1,5,46,0,3,7000,0,0,0,6.479403833,18.76924496,17.41271028,18.91434684,30.33255364,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
66120502,46.74269302,0,2,2,0,0,0,0,1,1,1,83,0,1,750,0,0,0,6.621404089,19.32252851,17.92102529,19.01263935,29.37703243,1,750,0.75,0.75,0,0,0,0,0,0,0,0,0,0
66776495,2428.398793,0,2,2,0,0,0,0,0,1,6,81,0,1,50,0,0,0,6.783358109,18.22349532,17.09281059,18.07325142,29.20606739,1,50,0.05,0.05,0,0,0,0,0,0,0,0,0,0
66813617,1169.480179,0,9,9,0,0,1,1,1,1,5,35,0,4,30000,0,0,0,7.084582552,18.59792183,17.54526537,16.43005104,28.22346186,1,30000,30,30,0,0,0,0,0,0,0,0,0,0
66931708,128.8310944,0,12,12,0,0,0,1,1,1,5,66,0,3,7000,0,0,0,7.031377136,19.33587578,18.20891355,20.43416735,27.91765998,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
67106099,18392.51613,0,6,6,0,0,1,1,0,1,4,48,0,3,7000,0,0,0,6.324815576,18.39470636,17.213505,18.60553731,30.14567371,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
67449077,15.09143009,0,2,2,0,0,0,1,1,1,6,70,0,1,750,0,0,0,6.571507823,17.99222148,16.98793705,17.62047188,28.47487564,1,750,0.75,0.75,0,0,0,0,0,0,0,0,0,0
67460933,9098.366232,0,8,8,0,0,1,1,1,1,4,44,0,4,1500,0,0,0,6.046470305,18.29799386,17.04439537,18.86997019,30.46249182,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
